 k (decay constant)  τ_horizon (where S ≈ 0.999)
           0.001000                  6907.755279
           0.005125                  1347.854689
           0.009250                   746.784354
           0.013375                   516.467684
           0.017500                   394.728873
           0.021625                   319.433770
           0.025750                   268.262341
           0.029875                   231.221934
           0.034000                   203.169273
           0.038125                   181.187024
           0.042250                   163.497166
           0.046375                   148.954292
           0.050500                   136.787233
           0.054625                   126.457763
           0.058750                   117.578813
           0.062875                   109.864895
           0.067000                   103.100825
           0.071125                    97.121340
           0.075250                    91.797412
           0.079375                    87.026838
           0.083500                    82.727608
           0.087625                    78.833156
           0.091750                    75.288886
           0.095875                    72.049599
           0.100000                    69.077553
